table_field
measuring_point_history.measuring_point_description
measuring_point_history.start_date
measuring_point_history.end_date
measuring_point_history.reason
measuring_point_history.id
measuring_point_history.created_at
measuring_point_history.created_by_name
measuring_point_history.created_by_id
measuring_point_history.updated_by_name
measuring_point_history.updated_by_id
measuring_point_history.release_status
monitoring_frequency_history.thing_id
monitoring_frequency_history.monitoring_frequency
monitoring_frequency_history.start_date
monitoring_frequency_history.end_date
monitoring_frequency_history.id
monitoring_frequency_history.created_at
monitoring_frequency_history.created_by_name
monitoring_frequency_history.created_by_id
monitoring_frequency_history.updated_by_name
monitoring_frequency_history.updated_by_id
monitoring_frequency_history.release_status
notes.target_id
notes.target_table
notes.note_type
notes.content
notes.id
notes.created_at
notes.created_by_name
notes.created_by_id
notes.updated_by_name
notes.updated_by_id
notes.release_status
observation.nma_pk_waterlevels
observation.sample_id
observation.sensor_id
observation.analysis_method_id
observation.parameter_id
observation.observation_datetime
observation.value
observation.unit
observation.notes
observation.measuring_point_height
observation.groundwater_level_reason
observation.id
observation.created_at
observation.created_by_name
observation.created_by_id
observation.updated_by_name
observation.updated_by_id
observation.release_status
observation_version.nma_pk_waterlevels
observation_version.sample_id
observation_version.sensor_id
observation_version.analysis_method_id
observation_version.parameter_id
observation_version.observation_datetime
observation_version.value
observation_version.unit
observation_version.notes
observation_version.measuring_point_height
observation_version.groundwater_level_reason
observation_version.id
observation_version.created_at
observation_version.created_by_name
observation_version.created_by_id
observation_version.updated_by_name
observation_version.updated_by_id
observation_version.release_status
observation_version.transaction_id
observation_version.end_transaction_id
observation_version.operation_type
parameter.parameter_name
parameter.matrix
parameter.parameter_type
parameter.cas_number
parameter.default_unit
parameter.id
parameter.created_at
parameter.created_by_name
parameter.created_by_id
parameter.updated_by_name
parameter.updated_by_id
parameter.release_status
parameter_version.parameter_name
parameter_version.matrix
parameter_version.parameter_type
parameter_version.cas_number
parameter_version.default_unit
parameter_version.id
parameter_version.created_at
parameter_version.created_by_name
parameter_version.created_by_id
parameter_version.updated_by_name
parameter_version.updated_by_id
parameter_version.release_status
parameter_version.transaction_id
parameter_version.end_transaction_id
parameter_version.operation_type
permission.contact_id
permission.allow_sampling
permission.allow_installation
permission.start_date
permission.end_date
permission.notes
permission.permissible_id
permission.permissible_type
permission.id
permission.created_at
permission.created_by_name
permission.created_by_id
permission.updated_by_name
permission.updated_by_id
permission.release_status
phone.contact_id
phone.phone_number
phone.phone_type
phone.search_vector
phone.id
phone.created_at
phone.created_by_name
phone.created_by_id
phone.updated_by_name
phone.updated_by_id
phone.release_status
pub_author.name
pub_author.affiliation
pub_author.search_vector
pub_author.id
pub_author.created_at
pub_author.created_by_name
pub_author.created_by_id
pub_author.updated_by_name
pub_author.updated_by_id
pub_author_contact_association.author_id
pub_author_contact_association.contact_id
pub_author_contact_association.created_at
pub_author_contact_association.created_by_name
pub_author_contact_association.created_by_id
pub_author_contact_association.updated_by_name
pub_author_contact_association.updated_by_id
pub_author_publication_association.publication_id
pub_author_publication_association.author_id
pub_author_publication_association.author_order
pub_author_publication_association.created_at
pub_author_publication_association.created_by_name
pub_author_publication_association.created_by_id
pub_author_publication_association.updated_by_name
pub_author_publication_association.updated_by_id
publication.title
publication.abstract
publication.doi
publication.year
publication.publisher
publication.url
publication.publication_type
publication.search_vector
publication.id
publication.created_at
publication.created_by_name
publication.created_by_id
publication.updated_by_name
publication.updated_by_id
regulatory_limit.parameter_id
regulatory_limit.limit_source
regulatory_limit.limit_value
regulatory_limit.limit_unit
regulatory_limit.limit_type
regulatory_limit.id
regulatory_limit.created_at
regulatory_limit.created_by_name
regulatory_limit.created_by_id
regulatory_limit.updated_by_name
regulatory_limit.updated_by_id
regulatory_limit.release_status
regulatory_limit_version.parameter_id
regulatory_limit_version.limit_source
regulatory_limit_version.limit_value
regulatory_limit_version.limit_unit
regulatory_limit_version.limit_type
regulatory_limit_version.id
regulatory_limit_version.created_at
regulatory_limit_version.created_by_name
regulatory_limit_version.created_by_id
regulatory_limit_version.updated_by_name
regulatory_limit_version.updated_by_id
regulatory_limit_version.release_status
regulatory_limit_version.transaction_id
regulatory_limit_version.end_transaction_id
regulatory_limit_version.operation_type
sample.field_activity_id
sample.field_event_participant_id
sample.sample_date
sample.sample_name
sample.sample_matrix
sample.sample_method
sample.qc_type
sample.depth_top
sample.depth_bottom
sample.notes
sample.nma_pk_waterlevels
sample.id
sample.created_at
sample.created_by_name
sample.created_by_id
sample.updated_by_name
sample.updated_by_id
sample.release_status
sensor.nma_pk_equipment
sensor.name
sensor.sensor_type
sensor.model
sensor.serial_no
sensor.pcn_number
sensor.owner_agency
sensor.sensor_status
sensor.notes
sensor.id
sensor.created_at
sensor.created_by_name
sensor.created_by_id
sensor.updated_by_name
sensor.updated_by_id
sensor.release_status
spatial_ref_sys.srid
spatial_ref_sys.auth_name
spatial_ref_sys.auth_srid
spatial_ref_sys.srtext
spatial_ref_sys.proj4text
status_history.status_type
status_history.status_value
status_history.start_date
status_history.end_date
status_history.reason
status_history.target_id
status_history.target_table
status_history.id
status_history.created_at
status_history.created_by_name
status_history.created_by_id
status_history.updated_by_name
status_history.updated_by_id
status_history.release_status
thing.nma_pk_welldata
thing.name
thing.thing_type
thing.first_visit_date
thing.well_depth
thing.hole_depth
thing.well_purpose
thing.well_casing_diameter
thing.well_casing_depth
thing.well_construction_notes
thing.spring_type
thing.search_vector
thing.id
thing.created_at
thing.created_by_name
thing.created_by_id
thing.updated_by_name
thing.updated_by_id
thing.release_status
thing_contact_association.thing_id
thing_contact_association.contact_id
thing_contact_association.id
thing_contact_association.created_at
thing_contact_association.created_by_name
thing_contact_association.created_by_id
thing_contact_association.updated_by_name
thing_contact_association.updated_by_id
thing_id_link.thing_id
thing_id_link.relation
thing_id_link.alternate_id
thing_id_link.alternate_organization
thing_id_link.id
thing_id_link.created_at
thing_id_link.created_by_name
thing_id_link.created_by_id
thing_id_link.updated_by_name
thing_id_link.updated_by_id
thing_id_link.release_status
thing_version.nma_pk_welldata
thing_version.name
thing_version.thing_type
thing_version.first_visit_date
thing_version.well_depth
thing_version.hole_depth
thing_version.well_purpose
thing_version.well_casing_diameter
thing_version.well_casing_depth
thing_version.well_construction_notes
thing_version.spring_type
thing_version.search_vector
thing_version.id
thing_version.created_at
thing_version.created_by_name
thing_version.created_by_id
thing_version.updated_by_name
thing_version.updated_by_id
thing_version.release_status
thing_version.transaction_id
thing_version.end_transaction_id
thing_version.operation_type
transaction.id
transaction.remote_addr
transaction.user_id
transaction.issued_at
transducer_observation.parameter_id
transducer_observation.deployment_id
transducer_observation.observation_datetime
transducer_observation.value
transducer_observation.id
transducer_observation.created_at
transducer_observation.created_by_name
transducer_observation.created_by_id
transducer_observation.updated_by_name
transducer_observation.updated_by_id
transducer_observation.release_status
transducer_observation_block.parameter_id
transducer_observation_block.review_status
transducer_observation_block.start_datetime
transducer_observation_block.end_datetime
transducer_observation_block.comment
transducer_observation_block.reviewer_id
transducer_observation_block.id
transducer_observation_block.created_at
transducer_observation_block.created_by_name
transducer_observation_block.created_by_id
transducer_observation_block.updated_by_name
transducer_observation_block.updated_by_id
transducer_observation_block.release_status
user.id
user.username
well_casing_material.thing_id
well_casing_material.material
well_casing_material.search_vector
well_casing_material.id
well_casing_material.created_at
well_casing_material.created_by_name
well_casing_material.created_by_id
well_casing_material.updated_by_name
well_casing_material.updated_by_id
well_casing_material.release_status
well_purpose.thing_id
well_purpose.purpose
well_purpose.search_vector
well_purpose.id
well_purpose.created_at
well_purpose.created_by_name
well_purpose.created_by_id
well_purpose.updated_by_name
well_purpose.updated_by_id
well_purpose.release_status
well_screen.thing_id
well_screen.screen_depth_top
well_screen.screen_depth_bottom
well_screen.screen_type
well_screen.screen_description
well_screen.nma_pk_wellscreens
well_screen.id
well_screen.created_at
well_screen.created_by_name
well_screen.created_by_id
well_screen.updated_by_name
well_screen.updated_by_id
well_screen.release_status
