WellID,PointID,OBJECTID,DepthToWater,DepthToWaterBGS,LevelStatus,DataQuality,MPHeight,MeasurementMethod,MeasuredBy,DataSource,MeasuringAgency,SiteNotes,LevelStatement,GlobalID,SSMA_TimeStamp,PublicRelease,Geometry,DateMeasured,TimeMeasured,TimeDatum
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422937,141.32,141.32,,,0,F,TWDB,A,TWDB,,,0C1EA678-D09B-4441-BBE6-42A11726BD28,0x00000000000786A1,true,,1979-06-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422975,114.87,114.87,,,0,F,TWDB,A,TWDB,,,A2D1810C-FE58-4F6B-830C-44897CFFEE13,0x000000000007924E,true,,1980-02-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,429899,138.56,138.56,,,0,F,TWDB,A,TWDB, ,,A4A2E41E-5368-46B7-82CA-3E6D2E27591E,0x0000000000076C27,true,,2020-03-25,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424052,142.52,142.52,,,0,F,TWDB,A,TWDB,,,969D18A9-D539-4555-8963-3E74AE5C5CD4,0x0000000000076C51,true,,2000-09-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423173,138.8,138.8,,,0,F,TWDB,A,TWDB,,,B26869F4-A5D5-414D-BD09-40CD7B44C1D6,0x0000000000077B2D,true,,1982-07-01,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423050,121.97,121.97,,,0,F,TWDB,A,TWDB,,,6EF40FFE-D1C1-4CB1-848F-40A1742D5DD6,0x0000000000077A27,true,,1981-01-01,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424973,150.31,150.31,,,0,F,TWDB,A,TWDB,,,491E25D4-9792-447C-96DC-40E43A8A1D24,0x0000000000077BB4,true,,2014-07-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423358,128.8,128.8,,,0,F,TWDB,A,TWDB,,,4CB6F170-27B1-47C8-962B-3FA7C9E445F3,0x00000000000773FD,true,,1990-06-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425219,139.48,139.48,,,0,F,TWDB,A,TWDB,,,03A256F5-86CA-4738-A4F5-3E48DF67D271,0x0000000000076B42,true,,2018-03-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422804,118.05,118.05,,,0,F,TWDB,A,TWDB,,,D5A26ADA-F6D1-475F-B7F6-3E4FD3797E15,0x0000000000076B70,true,,1977-01-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423212,131.28,131.28,,,0,F,TWDB,A,TWDB,,,FC5DCC54-2F35-49F3-910E-3E61D4ADE020,0x0000000000076BD4,true,,1985-10-01,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424626,144.06,144.06,,,0,F,TWDB,A,TWDB,,,C642B101-1F12-46E5-BF27-3E678B5B4847,0x0000000000076BFB,true,,2009-07-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425005,137.21,137.21,,,0,F,TWDB,A,TWDB,,,09D0A387-8640-40AC-B931-3E68F89B8ECD,0x0000000000076C03,true,,2014-12-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423876,118.75,118.75,,,0,F,TWDB,A,TWDB,,,067F70A6-9BFF-4178-85AF-3F782D063A64,0x00000000000772C1,true,,1998-03-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424006,118.8,118.8,,,0,F,TWDB,A,TWDB,,,9A38AAAD-0C59-411C-9D6C-3F7B52F8F819,0x00000000000772D7,true,,2000-01-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422940,141.92,141.92,,,0,F,TWDB,A,TWDB,,,7ECC9E27-06D4-4168-952A-3F3EA49B9E67,0x0000000000077188,true,,1979-07-01,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425054,147.55,147.55,,,0,F,TWDB,A,TWDB,,,7B5B3992-6935-4DD4-9DEA-3E2598842902,0x0000000000076A78,true,,2015-09-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,429873,146.55,146.55,,,0,F,TWDB,A,TWDB, ,,7FF315DA-F96C-4806-AA99-3F33DC36860A,0x0000000000077142,true,,2019-11-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423299,116.77,116.77,,,0,F,TWDB,A,TWDB,,,2A1BFC0A-1767-48D6-971E-3DF7DBA8830D,0x000000000007696B,true,,1989-02-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423511,122.62,122.62,,,0,F,TWDB,A,TWDB,,,13E544CD-6D8A-451D-9483-3E1A894178F2,0x0000000000076A33,true,,1992-07-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423328,112.94,112.94,,,0,F,TWDB,A,TWDB,,,E95F1E57-0A20-49DB-9D3F-3D963D1287A7,0x000000000007670F,true,,1990-02-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424088,119.92,119.92,,,0,F,TWDB,A,TWDB,,,5F5F57CB-17BE-49EF-86D9-3EBD4EF28BD8,0x0000000000076E20,true,,2001-02-28,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422119,110.19,110.19,,,0,F,TWDB,A,TWDB,,,611525EF-C15E-425D-AF61-3D9F03888AD7,0x0000000000076745,true,,1967-06-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424698,143.91,143.91,,,0,F,TWDB,A,TWDB,,,05F12ACC-3160-42B7-B4E0-3DD40B39C983,0x0000000000076884,true,,2010-08-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422604,113.47,113.47,,,0,F,TWDB,A,TWDB,,,1A2809C9-4814-4402-AC84-3DF3B628131D,0x000000000007694F,true,,1974-01-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423329,114.63,114.63,,,0,S,TWDB,A,TWDB,,,72141589-F2B8-4D5C-B8FC-3DFD739058CF,0x0000000000076986,true,,1990-02-09,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425000,139.54,139.54,,,0,F,TWDB,A,TWDB,,,7A132E86-7EB7-47CC-9E90-3F07901F4DA8,0x0000000000077006,true,,2014-12-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424329,124.94,124.94,,,0,F,TWDB,A,TWDB,,,B2611E98-2F03-44A7-B1BE-3DC66F1E8E57,0x000000000007683B,true,,2005-02-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424633,146.04,146.04,,,0,F,TWDB,A,TWDB,,,AF21EAC7-F97A-4C0E-91E8-3DD01683EEF6,0x0000000000076869,true,,2009-08-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423263,129.69,129.69,,,0,F,TWDB,A,TWDB,,,E54EF7D2-DA23-4EFC-A027-3C2864925EFE,0x0000000000075E14,true,,1987-08-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422078,103.34,103.34,,,0,F,TWDB,A,TWDB,,,763EEB98-FE67-44E2-A4D8-3D67CDC78DB0,0x00000000000765F6,true,,1966-11-25,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424191,124.71,124.71,,,0,F,TWDB,A,TWDB,,,2B76F6ED-099A-4F70-B779-3D58836C9936,0x00000000000765A6,true,,2003-03-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423293,126.22,126.22,,,0,F,TWDB,A,TWDB,,,F856FB0B-51C1-4D94-A1BD-3D90CD2966AF,0x00000000000766F6,true,,1988-09-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422908,116.91,116.91,,,0,F,TWDB,A,TWDB,,,24069413-E0FD-4B23-AA0F-3EAD9DAD886C,0x0000000000076DBB,true,,1979-01-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424567,147.75,147.75,,,0,F,TWDB,A,TWDB,,,A5A4A7C4-19C1-4E99-97B6-3EB4349627A1,0x0000000000076DE5,true,,2008-09-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423795,112.66,112.66,,,0,F,TWDB,A,TWDB,,,39CCC8BE-7341-479D-A4F7-3D877D9D879D,0x00000000000766BE,true,,1997-02-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423681,112.69,112.69,,,0,F,TWDB,A,TWDB,,,D4B2FBE0-EFC9-4C34-BBFC-3E880BC6D514,0x0000000000076CD0,true,,1995-03-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425090,134.47,134.47,,,0,F,TWDB,A,TWDB,,,ED9431E1-E2BD-44A9-82DF-3EA169BE8254,0x0000000000076D75,true,,2016-03-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423374,128.6,128.6,,,0,F,TWDB,A,TWDB,,,8174848D-D8D2-4D70-BA30-3EA5CA49B4F4,0x0000000000076D91,true,,1990-09-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422382,108.68,108.68,,,0,S,TWDB,A,TWDB,,,4073697B-C8F7-4512-ADEB-3BBC69EE961F,0x0000000000075BAC,true,,1971-01-14,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422686,137.82,137.82,,,0,F,TWDB,A,TWDB,,,914E1D30-0F8F-4D5A-B91A-3CDE0F869B9F,0x0000000000076290,true,,1975-07-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422547,111.8,111.8,,,0,F,TWDB,A,TWDB,,,B57645E0-F843-4C15-99C2-3C9B830EA4EF,0x00000000000760E5,true,,1973-04-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423657,120.78,120.78,,,0,F,TWDB,A,TWDB,,,BEA4699C-A959-4DF5-8585-3B737519D2E0,0x00000000000759E9,true,,1994-11-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425194,151.65,151.65,,,0,F,TWDB,A,TWDB,,,2AE17FD8-23BC-4A2F-B3A8-3C922ADB7DE9,0x00000000000760A7,true,,2017-10-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423609,119.17,119.17,,,0,F,TWDB,A,TWDB,,,8ED505F5-24C6-474F-9803-3B66A5B02980,0x0000000000075993,true,,1993-11-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423310,131.83,131.83,,,0,F,TWDB,A,TWDB,,,4C35DA7F-3F07-4892-9103-3CA222AB6EA8,0x0000000000076119,true,,1989-07-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423916,133.31,133.31,,,0,F,TWDB,A,TWDB,,,A3A4AD44-71E8-4CCC-9CE9-3B802EF18674,0x0000000000075A2E,true,,1998-10-20,,
