model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|8180|7697|5.9046454767726155
PointID|Table|Field|Error
TC-280|WellData||measuring_point_height: Input should be a valid number
TO-0534|WellData||measuring_point_height: Input should be a valid number
NM-28447|WellData||measuring_point_height: Input should be a valid number
TB-0263|WellData||measuring_point_height: Input should be a valid number
AH-087|WellData||measuring_point_height: Input should be a valid number
TO-0535|WellData||measuring_point_height: Input should be a valid number
QY-0726|WellData||Value error, well casing depth must be less than or equal to hole depth
PP-020|WellData||measuring_point_height: Input should be a valid number
TC-417|WellData||measuring_point_height: Input should be a valid number
QU-019|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0205|WellData||measuring_point_height: Input should be a valid number
WL-0340|WellData||measuring_point_height: Input should be greater than or equal to 0
TC-399|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0508|WellData||measuring_point_height: Input should be a valid number
EB-206|WellData||measuring_point_height: Input should be greater than or equal to 0
JM-056|WellData||measuring_point_height: Input should be a valid number
AR-0158|WellData||measuring_point_height: Input should be a valid number
AR-0145|WellData||measuring_point_height: Input should be a valid number
EB-294|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0548|WellData||measuring_point_height: Input should be a valid number
TO-0524|WellData||measuring_point_height: Input should be a valid number
WL-0319|WellData||measuring_point_height: Input should be greater than or equal to 0
SM-0193|WellData||measuring_point_height: Input should be a valid number
EB-021|WellData||measuring_point_height: Input should be greater than or equal to 0
CP-0013|WellData||measuring_point_height: Input should be a valid number
AR-0159|WellData||measuring_point_height: Input should be a valid number
SM-0138|WellData||measuring_point_height: Input should be a valid number
AR-0141|WellData||measuring_point_height: Input should be a valid number
TO-0556|WellData||measuring_point_height: Input should be a valid number
AH-108|WellData||measuring_point_height: Input should be a valid number
TC-356|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-044|WellData||measuring_point_height: Input should be a valid number
PP-064|WellData||measuring_point_height: Input should be a valid number
PP-047|WellData||measuring_point_height: Input should be a valid number
AH-073|WellData||measuring_point_height: Input should be a valid number
WL-0326|WellData||measuring_point_height: Input should be a valid number
AR-0179|WellData||measuring_point_height: Input should be a valid number
EB-312|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0185|WellData||measuring_point_height: Input should be a valid number
WL-0201|WellData||measuring_point_height: Input should be a valid number
EB-256|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0160|WellData||measuring_point_height: Input should be a valid number
DA-0202|WellData||measuring_point_height: Input should be a valid number
AR-0203|WellData||measuring_point_height: Input should be a valid number
AH-098|WellData||measuring_point_height: Input should be a valid number
EB-103|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0186|WellData||measuring_point_height: Input should be a valid number
TO-0546|WellData||measuring_point_height: Input should be a valid number
WL-0289|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0167|WellData||measuring_point_height: Input should be a valid number
TO-0540|WellData||measuring_point_height: Input should be a valid number
TB-0259|WellData||measuring_point_height: Input should be a valid number
AR-0146|WellData||measuring_point_height: Input should be a valid number
TO-0530|WellData||measuring_point_height: Input should be a valid number
TC-242|WellData||measuring_point_height: Input should be a valid number
TO-0553|WellData||measuring_point_height: Input should be a valid number
NM-28297|WellData||measuring_point_height: Input should be a valid number
QU-025|WellData||measuring_point_height: Input should be a valid number
AH-056|WellData||measuring_point_height: Input should be a valid number
AR-0166|WellData||measuring_point_height: Input should be a valid number
EB-198|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0528|WellData||measuring_point_height: Input should be a valid number
NM-26883|WellData||Value error, well casing depth must be less than or equal to hole depth
AH-057|WellData||measuring_point_height: Input should be a valid number
PP-061|WellData||measuring_point_height: Input should be a valid number
EB-342|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-064|WellData||measuring_point_height: Input should be a valid number
EB-023|WellData||measuring_point_height: Input should be greater than or equal to 0
QU-153|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-243|WellData||measuring_point_height: Input should be greater than or equal to 0
NM-27127|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0147|WellData||measuring_point_height: Input should be a valid number
PP-010|WellData||measuring_point_height: Input should be a valid number
AR-0149|WellData||measuring_point_height: Input should be a valid number
WL-0122|WellData||measuring_point_height: Input should be greater than or equal to 0
WL-0230|WellData||measuring_point_height: Input should be a valid number
QU-175|WellData||measuring_point_height: Input should be a valid number
TO-0536|WellData||measuring_point_height: Input should be a valid number
EB-190|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0139|WellData||measuring_point_height: Input should be a valid number
AR-0198|WellData||measuring_point_height: Input should be a valid number
NM-28249|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0517|WellData||measuring_point_height: Input should be a valid number
LC-025|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0511|WellData||measuring_point_height: Input should be a valid number
AR-0124|WellData||measuring_point_height: Input should be a valid number
EB-509|WellData||Value error, well depth must be less than than or equal to hole depth
PP-021|WellData||measuring_point_height: Input should be a valid number
TO-0513|WellData||measuring_point_height: Input should be a valid number
TO-0538|WellData||measuring_point_height: Input should be a valid number
WL-0047|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0120|WellData||Value error, well casing depth must be less than or equal to hole depth
AR-0168|WellData||measuring_point_height: Input should be a valid number
EB-335|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-086|WellData||measuring_point_height: Input should be a valid number
AR-0142|WellData||measuring_point_height: Input should be a valid number
AR-0164|WellData||measuring_point_height: Input should be a valid number
AH-076|WellData||measuring_point_height: Input should be a valid number
EB-014|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-062|WellData||measuring_point_height: Input should be a valid number
AH-080|WellData||measuring_point_height: Input should be a valid number
SA-0026|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0525|WellData||measuring_point_height: Input should be a valid number
SV-0012|WellData||Value error, well depth must be less than than or equal to hole depth
PP-041|WellData||measuring_point_height: Input should be a valid number
PP-057|WellData||measuring_point_height: Input should be a valid number
TO-0543|WellData||measuring_point_height: Input should be a valid number
EB-436|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-430|WellData||measuring_point_height: Input should be greater than or equal to 0
TC-340|WellData||measuring_point_height: Input should be greater than or equal to 0
TB-0258|WellData||measuring_point_height: Input should be a valid number
TO-0515|WellData||measuring_point_height: Input should be a valid number
PP-068|WellData||measuring_point_height: Input should be a valid number
WL-0302|WellData||measuring_point_height: Input should be a valid number
TV-201|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0132|WellData||measuring_point_height: Input should be a valid number
PP-012|WellData||measuring_point_height: Input should be a valid number
AH-065|WellData||measuring_point_height: Input should be a valid number
PP-045|WellData||measuring_point_height: Input should be a valid number
QY-0727|WellData||Value error, well casing depth must be less than or equal to hole depth
NM-28451|WellData||measuring_point_height: Input should be a valid number
TO-0527|WellData||measuring_point_height: Input should be a valid number
PP-025|WellData||measuring_point_height: Input should be a valid number
AR-0137|WellData||measuring_point_height: Input should be a valid number
TO-0505|WellData||measuring_point_height: Input should be a valid number
TC-416|WellData||measuring_point_height: Input should be a valid number
EB-216|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-441|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-061|WellData||measuring_point_height: Input should be a valid number
GT-003|WellData||measuring_point_height: Input should be a valid number
SB-0915|WellData||measuring_point_height: Input should be a valid number
BC-0108|WellData||measuring_point_height: Input should be greater than or equal to 0
NM-28450|WellData||measuring_point_height: Input should be a valid number
PP-032|WellData||measuring_point_height: Input should be a valid number
WL-0268|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-363|WellData||Value error, well casing depth must be less than or equal to hole depth
PP-002|WellData||measuring_point_height: Input should be a valid number
