NMAquiferTable,MatchField,SamplePtID,WCLab_ID,SamplePointID,AnalysesAgency,StudySample,DataQuality,SampleType,CollectionDate,CollectionMethod,CollectedBy,WaterType,SampleNotes,DataSource,SampleMaterialNotH2O,OBJECTID,LocationId,AddedDaytoDate,AddedMonthDaytoDate,SSMA_TimeStamp,PublicRelease
dbo.Chemistry SampleInfo,DataSource,D05872BC-D116-444B-A9E9-4CA28FEC1B93,,NM-09502C,USGS,,true,SD,1955-08-24 00:00:00.000,U,A,,,USGS,,7265,9F0AAAEB-5C4D-4E1E-9F9B-0A78D3CEE050,false,false,0x00000000000257E2,true
dbo.Chemistry SampleInfo,DataSource,81CFF132-0E6C-4F75-BF45-4D81CBEC5448,,NM-00399A,USGS,,true,SD,1947-11-14 00:00:00.000,U,A,,,USGS,,7273,94CD3EF3-2940-44D6-B1DD-3E6BFAD0FF57,false,false,0x0000000000025809,true
dbo.Chemistry SampleInfo,DataSource,6C29CE58-B37D-4231-806A-4E6BBFC88288,,NM-00035A,USGS,,true,SD,1970-08-11 00:00:00.000,U,A,,,USGS,,7168,A431D828-568E-4B1A-B119-E065AD763CB3,false,false,0x0000000000025837,true
dbo.Chemistry SampleInfo,DataSource,2BB23343-6BB7-4B29-95BE-4E93BCA045F1,,NM-00388C,USGS,,true,SD,2003-10-20 00:00:00.000,U,A,,,USGS,,7245,E70E8F6A-93A5-4061-AC9A-4205037F120C,false,false,0x0000000000025842,true
dbo.Chemistry SampleInfo,DataSource,6EA10549-2B98-448A-A7DB-4EA8C2FCC0F0,,NM-00377B,USGS,,true,SD,1997-03-12 00:00:00.000,U,A,,,USGS,,7240,7B8E6E90-ADE8-4C60-A87F-D28953D5D906,false,false,0x000000000002584A,true
dbo.Chemistry SampleInfo,DataSource,ABCC4B91-17FD-40A8-9EDB-5130B9945F38,,NM-26614A,USGS,,true,SD,2020-04-23 00:00:00.000,U,A,,,USGS,,12893,1EA07FB0-723F-4F0B-9DF1-79C239E2F9E1,false,false,0x00000000000258B5,true
dbo.Chemistry SampleInfo,DataSource,EF4AB923-DBAF-4421-BBA0-514DC43E0DA0,,NM-09449A,USGS,,true,SD,1967-03-19 00:00:00.000,U,A,,,USGS,,7256,909F96BD-D7AF-47F9-9A5B-22CF5064CA35,false,false,0x00000000000258BB,true
dbo.Chemistry SampleInfo,DataSource,13E3DD37-AC05-4C55-B35E-528DF5195EE4,,NM-00399B,USGS,,true,SD,1953-03-19 00:00:00.000,U,A,,,USGS,,7274,94CD3EF3-2940-44D6-B1DD-3E6BFAD0FF57,false,false,0x00000000000258FE,true
dbo.Chemistry SampleInfo,DataSource,701D6A5F-36C3-4353-9830-557E5AE4BBAD,,NM-09469B,USGS,,true,SD,1952-07-14 00:00:00.000,U,A,,,USGS,,7258,3A1A150B-6694-41FB-84A1-E87324D71F65,false,false,0x0000000000025980,true
dbo.Chemistry SampleInfo,DataSource,344F89AF-C447-48D0-8511-568BF5E0E96F,,NM-07330H,USGS,,true,SD,1954-03-15 00:00:00.000,U,A,,,USGS,,7201,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x00000000000259B5,true
