Old Table Name,Old Column Name,Reason
AllWQ_CrossTab_NDs_Working_bak,DataSource,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,DataQuality,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,OH,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Mg_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,C14_corrected,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,H2r,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,F,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CFC113_12,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,O18r,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,TKN,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Cr_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Mn_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,PO4,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CFC11,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,IONBAL,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,C14,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Si,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,C13r,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Mo,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Ca,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Ra226,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CF,No corresponding sheet (expected 'NMAquifer_{old table name}')
