model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|8180|8157|0.28117359413202936
SO-0148|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0160|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0160|Equipment|RecordingInterval|row.ID=1032, row.SerialNo=FB470. RecordingInterval is not an integer
SO-0160|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0163|Equipment|RecordingInterval|row.ID=1033, row.SerialNo=FB472. RecordingInterval is not an integer
SO-0163|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0163|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0165|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0165|Equipment|RecordingInterval|row.ID=1034, row.SerialNo=FB474. RecordingInterval is not an integer
SO-0165|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0166|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0166|Equipment|RecordingInterval|row.ID=1035, row.SerialNo=FB473. RecordingInterval is not an integer
SO-0167|Equipment|RecordingInterval|row.ID=270, row.SerialNo=0121052330. RecordingInterval is not an integer
SO-0167|Equipment|RecordingInterval|row.ID=802, row.SerialNo=V2998. RecordingInterval is not an integer
SO-0167|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0167|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0167|Equipment|RecordingInterval|row.ID=1036, row.SerialNo=FB463. RecordingInterval is not an integer
SO-0168|Equipment|DateInstalled|row.ID=524, row.SerialNo=9736317. Installation Date cannot be None
SO-0169|Equipment|RecordingInterval|row.ID=801, row.SerialNo=V3063. RecordingInterval is not an integer
SO-0169|Equipment|DateInstalled|row.ID=279, row.SerialNo=9736315. Installation Date cannot be None
SO-0170|Equipment|RecordingInterval|row.ID=803, row.SerialNo=V3070. RecordingInterval is not an integer
SO-0170|Equipment|RecordingInterval|row.ID=1037, row.SerialNo=FB464. RecordingInterval is not an integer
SO-0170|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0170|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0171|Equipment|RecordingInterval|row.ID=813, row.SerialNo=V3318. RecordingInterval is not an integer
SO-0175|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0175|Equipment|RecordingInterval|row.ID=1038, row.SerialNo=AK511. RecordingInterval is not an integer
SO-0175|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0177|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0177|Equipment|RecordingInterval|row.ID=1039, row.SerialNo=BK307. RecordingInterval is not an integer
SO-0177|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0189|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0189|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0189|Equipment|RecordingInterval|row.ID=1040, row.SerialNo=AF158. RecordingInterval is not an integer
SO-0190|Equipment|RecordingInterval|row.ID=1041, row.SerialNo=AK454. RecordingInterval is not an integer
SO-0190|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0191|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0191|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0191|Equipment|RecordingInterval|row.ID=1042, row.SerialNo=FB439. RecordingInterval is not an integer
SO-0194|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0194|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0194|Equipment|RecordingInterval|row.ID=1043, row.SerialNo=FB442. RecordingInterval is not an integer
SO-0200|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0200|Equipment|RecordingInterval|row.ID=1044, row.SerialNo=FB433. RecordingInterval is not an integer
SO-0200|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0204|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0204|Equipment|RecordingInterval|row.ID=1045, row.SerialNo=FB436. RecordingInterval is not an integer
SO-0204|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0213|Equipment|RecordingInterval|row.ID=1046, row.SerialNo=FB478. RecordingInterval is not an integer
SO-0213|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0213|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0215|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0215|Equipment|RecordingInterval|row.ID=1047, row.SerialNo=FB475. RecordingInterval is not an integer
SO-0215|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0218|Equipment|RecordingInterval|row.ID=800, row.SerialNo=B4849. RecordingInterval is not an integer
SO-0219|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0219|Equipment|RecordingInterval|row.ID=1048, row.SerialNo=FB483. RecordingInterval is not an integer
SO-0219|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0221|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0221|Equipment|RecordingInterval|row.ID=1049, row.SerialNo=FB482. RecordingInterval is not an integer
SO-0221|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0223|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0223|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0223|Equipment|RecordingInterval|row.ID=1050, row.SerialNo=FB518. RecordingInterval is not an integer
SO-0224|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0224|Equipment|RecordingInterval|row.ID=1051, row.SerialNo=FB585. RecordingInterval is not an integer
SO-0226|Equipment|RecordingInterval|row.ID=691, row.SerialNo=R1709. RecordingInterval is not an integer
SO-0226|Equipment|RecordingInterval|row.ID=1052, row.SerialNo=FB515. RecordingInterval is not an integer
SO-0226|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0226|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0234|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0234|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0234|Equipment|RecordingInterval|row.ID=1053, row.SerialNo=FB485. RecordingInterval is not an integer
SO-0236|Equipment|RecordingInterval|row.ID=1054, row.SerialNo=FB484. RecordingInterval is not an integer
SO-0236|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0236|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0238|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0238|Equipment|RecordingInterval|row.ID=1055, row.SerialNo=FB405. RecordingInterval is not an integer
SO-0238|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0245|Equipment|RecordingInterval|row.ID=754, row.SerialNo=R1703. RecordingInterval is not an integer
SO-0245|Equipment|RecordingInterval|row.ID=1056, row.SerialNo=FB490. RecordingInterval is not an integer
SO-0245|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0245|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0245|Equipment|DateInstalled|row.ID=698, row.SerialNo=9736329. Installation Date cannot be None
SO-0246|Equipment|RecordingInterval|row.ID=755, row.SerialNo=AJ989. RecordingInterval is not an integer
SO-0246|Equipment|DateInstalled|row.ID=699, row.SerialNo=9736322. Installation Date cannot be None
SO-0247|Equipment|RecordingInterval|row.ID=1057, row.SerialNo=FB487. RecordingInterval is not an integer
SO-0247|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0247|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0249|Equipment|RecordingInterval|row.ID=1058, row.SerialNo=FB491. RecordingInterval is not an integer
SO-0249|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0249|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0250|Equipment|RecordingInterval|row.ID=689, row.SerialNo=AF181. RecordingInterval is not an integer
SO-0250|Equipment|RecordingInterval|row.ID=756, row.SerialNo=9736314. RecordingInterval is not an integer
SO-0250|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0250|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0250|Equipment|RecordingInterval|row.ID=1059, row.SerialNo=FB513. RecordingInterval is not an integer
SO-0252|Equipment|DateInstalled|row.ID=700, row.SerialNo=9736301. Installation Date cannot be None
SO-0253|Equipment|RecordingInterval|row.ID=690, row.SerialNo=R1822. RecordingInterval is not an integer
SO-0254|Equipment|RecordingInterval|row.ID=925, row.SerialNo=DG-189. RecordingInterval is not an integer
SO-0261|Equipment|RecordingInterval|row.ID=1060, row.SerialNo=FB512. RecordingInterval is not an integer
SO-0261|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0271|Equipment|DateInstalled|row.ID=276, row.SerialNo=9763366. Installation Date cannot be None
SO-0274|Equipment|DateInstalled|row.ID=277, row.SerialNo=9763369. Installation Date cannot be None
TB-0002|Equipment|RecordingInterval|row.ID=464, row.SerialNo=74688. RecordingInterval is not an integer
TB-0044|Equipment|RecordingInterval|row.ID=465, row.SerialNo=D2267. RecordingInterval is not an integer
TB-0055|Equipment|RecordingInterval|row.ID=466, row.SerialNo=D2271. RecordingInterval is not an integer
TB-0059|Equipment|RecordingInterval|row.ID=457, row.SerialNo=78529. RecordingInterval is not an integer
TB-0071|Equipment|RecordingInterval|row.ID=461, row.SerialNo=D2262. RecordingInterval is not an integer
TB-0071|Equipment|RecordingInterval|row.ID=462, row.SerialNo=G5435. RecordingInterval is not an integer
TB-0203|Equipment|RecordingInterval|row.ID=458, row.SerialNo=F4088. RecordingInterval is not an integer
TV-167|Equipment|RecordingInterval|row.ID=13, row.SerialNo=K2150. RecordingInterval is not an integer
TV-192|Equipment|RecordingInterval|row.ID=16, row.SerialNo=G1234. RecordingInterval is not an integer
TV-192|Equipment|RecordingInterval|row.ID=15, row.SerialNo=F4088. RecordingInterval is not an integer
TV-196|Equipment|RecordingInterval|row.ID=17, row.SerialNo=78529. RecordingInterval is not an integer
TV-210|Equipment|RecordingInterval|row.ID=18, row.SerialNo=D2267. RecordingInterval is not an integer
TV-211|Equipment|RecordingInterval|row.ID=19, row.SerialNo=G5435. RecordingInterval is not an integer
TV-216|Equipment|RecordingInterval|row.ID=21, row.SerialNo=K2619. RecordingInterval is not an integer
TV-216|Equipment|RecordingInterval|row.ID=20, row.SerialNo=H3690. RecordingInterval is not an integer
TV-216|Equipment|RecordingInterval|row.ID=22, row.SerialNo=F4204. RecordingInterval is not an integer
TV-216|Equipment|RecordingInterval|row.ID=23, row.SerialNo=G1186. RecordingInterval is not an integer
TV-216|Equipment|RecordingInterval|row.ID=24, row.SerialNo=J3409. RecordingInterval is not an integer
TV-216|Equipment|RecordingInterval|row.ID=25, row.SerialNo=G1208. RecordingInterval is not an integer
TV-217|Equipment|RecordingInterval|row.ID=26, row.SerialNo=K2177. RecordingInterval is not an integer
TV-218|Equipment|RecordingInterval|row.ID=28, row.SerialNo=77862. RecordingInterval is not an integer
WL-0002|Equipment|RecordingInterval|row.ID=761, row.SerialNo=1JPXV8VR. RecordingInterval is not an integer
WL-0003|Equipment|RecordingInterval|row.ID=317, row.SerialNo=1JPXV9L7. RecordingInterval is not an integer
WL-0036|Equipment|RecordingInterval|row.ID=399, row.SerialNo=1JND3ZM3. RecordingInterval is not an integer
WL-0080|Equipment|RecordingInterval|row.ID=938, row.SerialNo=1JWE3CKU. RecordingInterval is not an integer
WS-007|Equipment|RecordingInterval|row.ID=155, row.SerialNo=1250505. RecordingInterval is not an integer
WS-007|Equipment|RecordingInterval|row.ID=199, row.SerialNo=10313142. RecordingInterval is not an integer
WS-008|Equipment|RecordingInterval|row.ID=156, row.SerialNo=2376408. RecordingInterval is not an integer
WS-009|Equipment|RecordingInterval|row.ID=157, row.SerialNo=2443812. RecordingInterval is not an integer
WS-010|Equipment|RecordingInterval|row.ID=200, row.SerialNo=10299447. RecordingInterval is not an integer
WS-010|Equipment|RecordingInterval|row.ID=158, row.SerialNo=1260248. RecordingInterval is not an integer
WS-012|Equipment|RecordingInterval|row.ID=160, row.SerialNo=2443808. RecordingInterval is not an integer
WS-018|Equipment|RecordingInterval|row.ID=163, row.SerialNo=9896166. RecordingInterval is not an integer

Contact|3526|3220|969|69.90683229813665
PointID|Table|Field|Error
AR-0209|OwnersData||"Key (organization)=(City of Aztec) is not present in table ""lexicon_term""."
CP-0037|OwnersData||"Key (organization)=(Daybreak Investments) is not present in table ""lexicon_term""."
EB-064|OwnersData||Value error, Either name or organization must be provided.
EB-110|OwnersData||"Key (organization)=(Vallecitos HOA) is not present in table ""lexicon_term""."
EB-119|OwnersData||"Key (organization)=(Naiche Corporation) is not present in table ""lexicon_term""."
EB-138|OwnersData||"Key (organization)=(Santa Fe County; Santa Fe Animal Shelter) is not present in table ""lexicon_term""."
EB-340|OwnersData||"Key (organization)=(El Guicu Ditch Association) is not present in table ""lexicon_term""."
EB-373|OwnersData||"Key (organization)=(Santa Fe Municipal Airport) is not present in table ""lexicon_term""."
EB-373|OwnersData||"Key (organization)=(Santa Fe Municipal Airport) is not present in table ""lexicon_term""."
EB-462|OwnersData||"Key (organization)=(Uluru Development) is not present in table ""lexicon_term""."
EB-506|OwnersData||"Key (organization)=(AllSup's Convenience Stores) is not present in table ""lexicon_term""."
EB-573|OwnersData||"Key (organization)=(Santa Fe Downs Resort) is not present in table ""lexicon_term""."
HS-002|OwnersData||"Key (organization)=(City of Truth or Consequences, WWTP) is not present in table ""lexicon_term""."
HS-002|OwnersData||"Key (organization)=(City of Truth or Consequences, WWTP) is not present in table ""lexicon_term""."
HS-038|OwnersData||"Key (organization)=(Riverbend Hotsprings) is not present in table ""lexicon_term""."
HS-038|OwnersData||"Key (organization)=(Riverbend Hotsprings) is not present in table ""lexicon_term""."
JM-015|OwnersData||"Key (organization)=(Armendaris Ranch) is not present in table ""lexicon_term""."
NM-00037|OwnersData||"Key (organization)=(El Paso Water) is not present in table ""lexicon_term""."
NM-00037|OwnersData||"Key (organization)=(El Paso Water) is not present in table ""lexicon_term""."
NM-00367|OwnersData||"Key (organization)=(Pecos Valley Artesian Conservancy District) is not present in table ""lexicon_term""."
NM-00841|OwnersData||"Key (organization)=(BLM, Socorro Field Office) is not present in table ""lexicon_term""."
NM-00904|OwnersData||"Key (organization)=(US Fish & Wildlife Service) is not present in table ""lexicon_term""."
NM-00904|OwnersData||"Key (organization)=(US Fish & Wildlife Service) is not present in table ""lexicon_term""."
NM-26614|OwnersData||"Key (organization)=(National Park Service) is not present in table ""lexicon_term""."
PB-0012|OwnersData||"Key (organization)=(Sile Municipal Domestic Water Assn.) is not present in table ""lexicon_term""."
PB-0020|OwnersData||"Key (organization)=(Pena Blanca Water & Sanitation District) is not present in table ""lexicon_term""."
PB-0020|OwnersData||"Key (organization)=(Pena Blanca Water & Sanitation District) is not present in table ""lexicon_term""."
QU-004|OwnersData||"Key (organization)=(Town of Questa) is not present in table ""lexicon_term""."
QU-004|OwnersData||"Key (organization)=(Town of Questa) is not present in table ""lexicon_term""."
QU-036|OwnersData||"Key (organization)=(Lama MDWCA) is not present in table ""lexicon_term""."
QU-036|OwnersData||"Key (organization)=(Lama MDWCA) is not present in table ""lexicon_term""."
QU-164|OwnersData||"Key (organization)=(Town of Cerro) is not present in table ""lexicon_term""."
QU-164|OwnersData||"Key (organization)=(Town of Cerro) is not present in table ""lexicon_term""."
SA-0062|OwnersData||"Key (organization)=(Farr Cattle Company (Farr Ranch)) is not present in table ""lexicon_term""."
TB-0097|OwnersData||"Key (organization)=(Carrizozo Orchard) is not present in table ""lexicon_term""."
UC-0031|OwnersData||"Key (organization)=(USFS, Kiowa Grasslands) is not present in table ""lexicon_term""."
WL-0002|OwnersData||"Key (organization)=(Cloud Country West Subdivision) is not present in table ""lexicon_term""."
WL-0003|OwnersData||"Key (organization)=(Chama West Water Users Assn.) is not present in table ""lexicon_term""."
WL-0004|OwnersData||"Key (organization)=(El Rito Regional Water + Waste Water Association) is not present in table ""lexicon_term""."
WL-0005|OwnersData||"Key (organization)=(West Rim MDWUA) is not present in table ""lexicon_term""."
WL-0016|OwnersData||"Key (organization)=(Village of Willard) is not present in table ""lexicon_term""."
WL-0016|OwnersData||"Key (organization)=(Village of Willard) is not present in table ""lexicon_term""."
WL-0017|OwnersData||"Key (organization)=(Quemado Mutual Water and Sewage Works Association) is not present in table ""lexicon_term""."
WL-0017|OwnersData||"Key (organization)=(Quemado Mutual Water and Sewage Works Association) is not present in table ""lexicon_term""."
WL-0019|OwnersData||"Key (organization)=(Coyote Creek MDWUA) is not present in table ""lexicon_term""."
WL-0019|OwnersData||"Key (organization)=(Coyote Creek MDWUA) is not present in table ""lexicon_term""."
WL-0021|OwnersData||"Key (organization)=(Lamy Mutual Domestic Water Assn.) is not present in table ""lexicon_term""."
